,sys2_elu_68,sys2_elu_69,sys2_elu_70,sys2_elu_71,sys2_elu_72,sys2_elu_73,sys2_elu_74,sys2_elu_75,sys2_elu_76,sys2_elu_77,sys2_elu_78,sys2_elu_79,sys2_elu_80,sys2_elu_81,sys2_elu_82,sys2_elu_83,sys2_elu_84,sys2_elu_85,sys2_relu_68,sys2_relu_69,sys2_relu_70,sys2_relu_71,sys2_relu_72,sys2_relu_73,sys2_relu_74,sys2_relu_75,sys2_relu_76,sys2_relu_77,sys2_relu_78,sys2_relu_79,sys2_relu_80,sys2_relu_81,sys2_relu_82,sys2_relu_83,sys2_relu_84,sys2_relu_85,sys2_go_68,sys2_go_69,sys2_go_70,sys2_go_71,sys2_go_72,sys2_go_73,sys2_go_74,sys2_go_75,sys2_go_76,sys2_go_77,sys2_go_78,sys2_go_79,sys2_go_80,sys2_go_81,sys2_go_82,sys2_go_83,sys2_go_84,sys2_go_85,sys2_sigmoid_68,sys2_sigmoid_69,sys2_sigmoid_70,sys2_sigmoid_71,sys2_sigmoid_72,sys2_sigmoid_73,sys2_sigmoid_74,sys2_sigmoid_75,sys2_sigmoid_76,sys2_sigmoid_77,sys2_sigmoid_78,sys2_sigmoid_79,sys2_sigmoid_80,sys2_sigmoid_81,sys2_sigmoid_82,sys2_sigmoid_83,sys2_sigmoid_84,sys2_sigmoid_85,sys2_tanh_68,sys2_tanh_69,sys2_tanh_70,sys2_tanh_71,sys2_tanh_72,sys2_tanh_73,sys2_tanh_74,sys2_tanh_75,sys2_tanh_76,sys2_tanh_77,sys2_tanh_78,sys2_tanh_79,sys2_tanh_80,sys2_tanh_81,sys2_tanh_82,sys2_tanh_83,sys2_tanh_84,sys2_tanh_85
0,3.4161827564239506,1.9185838699340825,3.1067705154418945,3.5240848064422616,1.3397090435028078,1.340281128883362,2.571009397506714,2.1953868865966797,1.5580663681030276,2.0098767280578618,1.420726537704468,1.8038439750671387,2.0837743282318115,2.758195877075195,1.7407802343368535,2.277640342712402,2.8732578754425044,2.425950050354004,3.032483816146851,3.031015872955322,2.733009338378906,3.0180079936981206,2.775258541107178,2.2292647361755376,2.321393728256225,2.2930335998535156,2.5541961193084717,2.517489910125733,2.206418037414551,2.657880544662476,2.483030796051025,2.7446012496948238,3.425769805908203,2.4345073699951176,2.528865814208984,2.6823029518127446,0.147693395614624,1.9612324237823486,1.8575987815856938,0.9340586662292482,1.441906929016113,1.5867426395416258,1.047609806060791,1.2151899337768555,1.0420830249786375,2.002177000045777,1.154862880706787,1.6753190755844116,1.3957178592681885,1.6802674531936646,1.6962299346923833,0.7937819957733153,1.7473284006118779,2.035942554473877,3.660206556320191,2.4666173458099365,3.9450371265411377,3.6754486560821538,3.2337164878845215,3.0799925327301025,3.5659337043762207,3.4586725234985356,3.871491193771362,3.3011164665222164,3.394124269485474,3.1406326293945317,3.6797218322753897,3.448028564453125,3.0519895553588863,3.1671400070190434,3.5954790115356436,3.2666745185852046,2.0691840648651123,2.1347746849060063,2.254024982452392,3.0016343593597408,2.453415870666504,1.6503340005874634,2.473036050796509,2.6572465896606445,1.6700376272201536,2.715126991271973,3.0573606491088867,2.3342299461364746,2.40052080154419,4.112988471984863,3.6645827293396,2.748131990432739,2.817572116851807,2.4569058418273926
1,3.801361322402954,2.3613610267639156,3.489408016204835,3.9759895801544194,1.7442476749420166,1.7888844013214111,2.9763059616088863,2.645244121551514,1.9847409725189211,2.413296699523926,1.852214813232422,2.2498259544372563,2.5120537281036373,3.1379446983337407,2.1399888992309575,2.71462607383728,3.2791132926940922,2.8293733596801753,3.438012838363647,3.4359045028686532,3.1359229087829594,3.4224157333374015,3.1861624717712407,2.6367325782775883,2.731301307678223,2.703242301940918,2.9605147838592534,2.922951698303223,2.6162390708923335,3.0539646148681636,2.892276763916016,3.14820146560669,3.823402881622315,2.841028451919555,2.9347939491271977,3.087320327758789,0.6973114013671876,2.477985143661499,2.4037563800811768,1.4726469516754153,1.961684226989746,2.112076759338379,1.5742430686950686,1.7405793666839604,1.562437057495117,2.5093483924865723,1.674259901046753,2.187775611877441,1.906949996948242,2.1737170219421387,2.19858455657959,1.3245718479156496,2.2463760375976567,2.5391430854797368,3.9525883197784415,2.720741510391235,4.22795295715332,3.9426939487457267,3.525221824645995,3.3713667392730704,3.882104396820068,3.7327499389648446,4.169466972351073,3.5924744606018066,3.6713035106658944,3.4660263061523446,3.9773941040039062,3.7429428100585938,3.345630168914795,3.483069419860839,3.8799324035644527,3.559048652648925,2.4877262115478516,2.5242052078247075,2.6454663276672363,3.3909952640533447,2.855769872665405,2.0635309219360347,2.86746096611023,3.033672094345093,2.113477230072021,3.123493194580078,3.4606962203979483,2.762252330780029,2.8183481693267827,4.506632804870606,4.0430426597595215,3.14211916923523,3.2326707839965825,2.870957851409912
2,4.203119277954102,2.8206028938293453,3.8888232707977286,4.443818092346191,2.1658303737640376,2.255445718765259,3.3979718685150138,3.111259222030639,2.427791595458984,2.8350410461425786,2.300206661224365,2.712458372116089,2.9574427604675297,3.5344424247741695,2.555951595306397,3.168919086456299,3.7018554210662833,3.2496099472045894,3.8603103160858154,3.8575422763824463,3.555494546890259,3.843542098999024,3.6140606403350835,3.061050653457641,3.1581583023071285,3.1304159164428706,3.3836419582366952,3.345185756683349,3.0430035591125484,3.46753978729248,3.318450450897217,3.5684919357299805,4.2374868392944345,3.2643721103668217,3.357513427734374,3.5090856552124015,1.2649718523025515,3.012090682983399,2.967798233032227,2.029067277908325,2.4986655712127686,2.6551513671874996,2.118678569793701,2.2838888168334965,2.10065746307373,3.033995389938355,2.2116444110870366,2.717978477478028,2.435950756072998,2.6844618320465092,2.718513727188111,1.8737275600433347,2.762807130813599,3.059835433959961,4.266619682312012,2.994653940200806,4.531156539916993,4.229199409484864,3.838451385498046,3.68367838859558,4.21919584274292,4.026596546173096,4.487829208374023,3.9044990539550777,3.96821904182434,3.813309669494629,4.294951438903808,4.057863235473632,3.660009860992432,3.819875717163086,4.184200763702393,3.8716306686401363,2.92516279220581,2.93209958076477,3.054714679718017,3.7990105152130127,3.2770380973815922,2.495533466339111,3.2798173427581783,3.4283180236816415,2.574564933776856,3.5497446060180673,3.8815512657165523,3.2071704864501958,3.254345655441284,4.918165683746337,4.439037322998046,3.554133176803589,3.665776252746582,3.3031711578369145
3,5.008845329284668,3.7321219444274907,4.690770149230957,5.371394157409668,3.010154247283935,3.1861290931701665,4.2400484085083,4.036043167114257,3.310212850570679,3.683685779571534,3.192264556884766,3.6324405670166016,3.8464281558990483,4.330755233764648,3.388709545135499,4.07492446899414,4.54776668548584,4.090585231781007,4.70491123199463,4.700814247131348,4.394643783569335,4.685797691345215,4.469858169555664,3.9096865653991704,4.011878967285156,3.9847707748413086,4.229887008666991,4.189647674560547,3.896535396575928,4.294691562652587,4.170793533325195,4.409073352813721,5.065648078918458,4.1110472679138175,4.202947616577148,4.352623462677002,2.3861515522003174,4.068156719207764,4.081723690032959,3.1284909248352046,3.559649467468261,3.7292346954345708,3.195529222488403,3.3589782714843746,3.1660039424896245,4.072661876678466,3.2758324146270748,3.7679452896118173,3.483702182769775,3.6965179443359375,3.7486360073089604,2.9611535072326665,3.785811901092529,4.091166019439697,4.923499107360839,3.570828199386597,5.1634979248046875,4.827103614807129,4.493907928466797,4.334887504577637,4.916388988494873,4.639930725097656,5.148653030395509,4.554449081420898,4.587211608886719,4.532628059387207,4.95280647277832,4.7111711502075195,4.314620971679687,4.516605377197266,4.817192554473877,4.5211615562438965,3.804158210754394,3.7548751831054696,3.877842426300049,4.62223243713379,4.125978469848634,3.364054203033447,4.109245777130127,4.225325584411621,3.494372844696044,4.404956340789795,4.725610256195068,4.094590663909913,4.128688812255859,5.745927333831788,5.236559867858886,4.383185386657714,4.534257411956787,4.170496463775635
4,6.521710872650147,5.40708065032959,6.197628021240235,7.073683738708496,4.591403007507324,4.91132116317749,5.807289123535157,5.737659454345704,4.945377349853516,5.287000656127931,4.844252586364747,5.331886768341064,5.498645782470702,5.829541206359864,4.94658660888672,5.756366729736327,6.1286888122558585,5.662613868713378,6.281291961669923,6.2747182846069345,5.9608545303344735,6.2578039169311515,6.067142486572266,5.493607521057129,5.605280876159667,5.5793495178222665,5.809345245361328,5.765772342681884,5.489592075347901,5.838513374328613,5.761628150939941,5.977956771850587,6.611347198486328,5.691310405731202,5.780883312225341,5.927017211914062,4.429419517517089,5.996793270111083,6.1113739013671875,5.1336631774902335,5.4946136474609375,5.691763877868653,5.163321018218995,5.325144290924071,5.115561485290527,5.974035263061523,5.224932670593263,5.6909990310668945,5.4032888412475595,5.552308082580567,5.6370882987976065,4.952568054199219,5.660546302795409,5.980754852294921,6.247844696044922,4.74544620513916,6.432737350463868,6.029348373413086,5.815311908721925,5.639856338500976,6.292328357696534,5.87389373779297,6.463359832763673,5.855773925781251,5.830150604248046,5.95548152923584,6.258201599121094,6.010520935058593,5.624603271484376,5.893716812133789,6.083619594573975,5.816305637359618,5.455031871795653,5.314016342163086,5.4286251068115225,6.1805782318115225,5.729965686798097,4.996843814849853,5.672541618347167,5.737853050231934,5.201486587524415,6.008897304534911,6.307878017425538,5.74262285232544,5.766919612884521,7.306011199951171,6.743428230285645,5.946693420410156,6.161516666412353,5.798022747039795
5,6.888025283813476,5.804988861083985,6.562051773071289,7.477447509765626,4.973466396331787,5.322496414184571,6.184096336364746,6.142958641052247,5.337092399597169,5.677039146423341,5.239744186401367,5.737930297851562,5.895277500152589,6.193034648895264,5.322564125061034,6.159424781799316,6.509902477264404,6.041772842407226,6.660905838012694,6.653734207153319,6.338019847869872,6.63636016845703,6.451789855957032,5.875033855438233,5.9889912605285645,5.963348388671876,6.189698219299317,6.145319938659668,5.873217582702637,6.210283279418946,6.144719123840332,6.355761051177978,6.983572006225584,6.071855545043946,6.160871505737306,6.306151866912843,4.912082195281982,6.453151702880859,6.590748786926269,5.607622146606444,5.951952934265137,6.156316280364989,5.629158020019531,5.790905952453613,5.577609062194825,6.424786567687989,5.6871919631958,6.147075653076171,5.858660221099853,5.992851257324219,6.085301399230956,5.4248132705688485,6.1053733825683585,6.429029464721679,6.584707260131835,5.046947479248046,6.754797935485842,6.3349599838256845,6.151208400726319,5.970224380493165,6.636590480804444,6.187768936157226,6.794684410095214,6.185270309448241,6.1459035873413095,6.311963081359862,6.586796760559083,6.338088035583497,5.956222534179688,6.238968849182128,6.404517650604247,6.143325328826903,5.853761196136474,5.693759918212891,5.804509162902833,6.559398174285889,6.1193904876708975,5.391524791717528,6.051663398742677,6.106456756591798,5.6105055809021005,6.396300792694092,6.689973831176756,6.137958049774169,6.162278652191162,7.684325695037843,7.109601974487304,6.326002120971681,6.554266929626466,6.191346645355225
6,7.911657333374025,6.9024877548217765,7.57991933822632,8.589334487915039,6.0398621559143075,6.457534313201903,7.232147216796873,7.262391090393068,6.423625469207765,6.768767833709717,6.336132049560546,6.861216068267824,6.996983528137209,7.2102513313293475,6.370699882507323,7.277505874633788,7.57208204269409,7.0985097885131845,7.7174148559570295,7.708583831787108,7.3877110481262225,7.689942359924318,7.522311210632324,6.936599254608156,7.0569076538085955,7.032057762145997,7.248269081115721,7.2016615867614755,6.940902709960939,7.244971752166746,7.210914611816407,7.407248020172119,8.019519805908201,7.130970001220705,7.218423843383787,7.3613290786743155,6.236665725708007,7.707087516784669,7.90618133544922,6.90890693664551,7.207571029663084,7.433119773864744,6.909564495086668,7.071702957153319,6.848653793334963,7.665005683898924,6.959447860717773,7.402308464050292,7.112189292907713,7.206172466278077,7.319558620452879,6.724455833435058,7.330060005187988,7.663054466247559,7.555463790893554,5.9218645095825195,7.682058334350587,7.216349601745604,7.118289470672607,6.919057846069335,7.617182254791261,7.093494415283202,7.744007110595703,7.132352828979494,7.0564022064209,7.327935218811036,7.52816390991211,7.277324676513671,6.90937328338623,7.224395751953124,7.328329563140868,7.081756114959718,6.964156150817872,6.758686542510988,6.854791164398194,7.619485378265382,7.208343505859373,6.491345405578614,7.111578941345213,7.14014148712158,6.744285583496092,7.47614002227783,7.7549986839294425,7.235308170318603,7.263593196868897,8.741902351379396,8.134832382202148,7.386607170104982,7.6484365463256845,7.288203239440918
7,8.79496479034424,7.837386131286621,8.461606979370117,9.534185409545898,6.962517261505125,7.425099372863768,8.134786605834961,8.217199325561523,7.35581636428833,7.709131240844727,7.275935649871828,7.820971965789793,7.943808555603028,8.093393325805664,7.274278640747072,8.236462593078613,8.488800048828125,8.010869979858397,8.627570152282715,8.617306709289549,8.291992187500002,8.597573280334474,8.444531440734863,7.851105213165282,7.976890563964842,7.952720642089845,8.16019916534424,8.11166763305664,7.860684394836426,8.136325836181639,8.128116607666016,8.313076972961426,8.911961555480959,8.043363571166992,8.129480361938477,8.270339965820312,7.356090545654297,8.76858901977539,9.01771926879883,8.009308815002443,8.269296646118162,8.51435661315918,7.993937492370604,8.157094955444338,7.926300525665281,8.716797828674316,8.038851737976074,8.467248916625978,8.1759614944458,8.236530303955078,8.367487907409668,7.826972484588622,8.369582176208496,8.710317611694336,8.427082061767576,6.71500778198242,8.514430046081543,8.009662628173828,7.985184192657471,7.767332077026366,8.484634399414064,7.909398078918457,8.59090805053711,7.980523109436035,7.875966072082521,8.226868629455566,8.368387222290039,8.116401672363283,7.763105392456053,8.098938941955566,8.158271789550781,7.920743465423586,7.9200611114501935,7.684921264648439,7.763750076293946,8.538276672363281,8.151329040527344,7.439040660858155,8.02969741821289,8.038846969604492,7.715394020080567,8.40771198272705,8.673845291137694,8.17741012573242,8.212836265563965,9.657825469970705,9.024677276611328,8.305395126342773,8.591679573059084,8.235121726989744
8,8.968032836914064,8.019573211669922,8.634980201721191,9.718036651611328,7.143819332122803,7.613684654235841,8.311709403991701,8.403338432312013,7.53813934326172,7.893168449401856,7.459645748138427,8.008255958557129,8.129155158996582,8.267237663269043,7.4514055252075195,8.423951148986816,8.668659210205078,8.189919471740723,8.80594253540039,8.79539966583252,8.46921443939209,8.775447845458986,8.62527084350586,8.030326843261719,8.157186508178711,8.133151054382324,8.338921546936035,8.290010452270506,8.040940284729004,8.311014175415039,8.306561470031737,8.490594863891603,9.086860656738283,8.222174644470215,8.308024406433105,8.448487281799315,7.573163032531739,8.974621772766113,9.233253479003906,8.222763061523438,8.475248336791992,8.724254608154299,8.204452514648438,8.367885589599611,8.135643005371094,8.921146392822266,8.248608589172363,8.674200057983398,8.382713317871094,8.436859130859375,8.57121467590332,8.041213035583496,8.571639060974121,8.913865089416504,8.601316452026369,6.874406814575194,8.680885314941406,8.16856575012207,8.158292770385742,7.936525344848633,8.656717300415037,8.072904586791994,8.759725570678711,8.149909019470217,8.040153503417969,8.405163764953613,8.535974502563477,8.283814430236818,7.9336328506469735,8.2727689743042,8.324380874633787,8.088186264038086,8.107187271118164,7.867334365844726,7.942269802093504,8.718822479248047,8.336560249328613,7.624667644500731,8.21011161804199,8.21576499938965,7.905087471008301,8.590365409851072,8.854013442993162,8.361713409423828,8.398862838745115,9.837779998779297,9.199728012084963,8.485941886901855,8.776538848876953,8.420855522155762
9,9.219472885131836,8.283725738525389,8.887243270874023,9.984437942504883,7.40754461288452,7.887125492095946,8.568819046020508,8.67324161529541,7.802859783172609,8.160419464111328,7.726313591003419,8.279920578002928,8.398350715637209,8.520298957824705,7.708800315856933,8.696107864379883,8.930130004882812,8.450228691101074,9.065114021301268,9.054162979125977,8.726715087890627,9.033900260925291,8.887880325317383,8.290740966796875,8.41915702819824,8.395317077636719,8.598599433898926,8.549140930175783,8.302855491638184,8.564834594726562,8.565840721130371,8.74853801727295,9.340987205505371,8.481983184814455,8.567455291748047,8.707333564758299,7.887233734130861,9.272829055786131,9.545082092285158,8.531642913818358,8.773260116577148,9.028087615966795,8.509180068969727,8.673051834106447,8.438743591308596,9.217034339904783,8.55235767364502,8.973877906799316,8.682125091552734,8.727018356323242,8.866273880004883,8.35143756866455,8.864268302917482,9.208637237548826,8.856307983398438,7.1081905364990225,8.924556732177733,8.401355743408203,8.41151237487793,8.18393802642822,8.907827377319338,8.31248188018799,9.006551742553713,8.39774513244629,8.280704498291016,8.665301322937012,8.781085968017576,8.528704643249512,8.183154106140138,8.526631355285643,8.567670822143556,8.333126068115233,8.378911018371582,8.132864952087402,8.201854705810547,8.981395721435545,8.605895042419434,7.894279003143312,8.472517013549805,8.473251342773438,8.180344581604004,8.855788230895996,9.115839958190916,8.629322052001953,8.669132232666017,10.099510192871096,9.454436302185059,8.748523712158203,9.045125961303711,8.69080448150635
