,SYS1:go,SYS1:elu,SYS1:relu,SYS1:tanh,SYS1:sigmoid
0,1.0180325508117674,3.2728013992309575,2.41834545135498,3.08482551574707,3.794653892517089
1,1.5304532051086424,3.67455768585205,2.823895454406738,3.451051712036133,4.077347755432129
2,2.0607068538665767,4.092497825622559,3.2462139129638676,3.835862398147584,4.379965305328369
3,3.1110396385192867,4.92720365524292,4.090855598449706,4.615621566772461,5.0100975036621085
4,5.035696506500243,6.481805801391601,5.667309761047363,6.104603767395019,6.272051811218261
5,5.492337226867675,6.855698108673095,6.046937942504884,6.469199180603028,6.591876983642579
6,6.74948501586914,7.8956871032714835,7.103497028350832,7.495071411132813,7.512314796447753
7,7.8164806365966815,8.791247367858885,8.013696670532227,8.39087963104248,8.338526725769045
8,8.023872375488281,8.966751098632812,8.192072868347166,8.567631721496582,8.503783226013184
9,8.324218749999998,9.22176933288574,8.451257705688475,8.825110435485842,8.745743751525879
10,8.530252456665039,9.39729309082031,8.629638671875,9.002758979797363,8.913505554199219
11,10.738166809082033,11.309915542602537,10.57200336456299,10.957552909851072,10.797842979431154
12,11.534851074218752,12.015094757080078,11.287051200866697,11.685128211975098,11.513887405395506
13,13.492006301879885,13.784545898437502,13.076951026916502,13.519731521606444,13.34334564208984
14,14.622897148132326,14.832801818847656,14.13350868225098,14.608781814575199,14.440095901489261
15,17.64593887329102,17.729309082031254,17.042503356933594,17.613779067993164,17.4814338684082
16,17.854915618896484,17.93439483642578,17.24837112426758,17.82611846923828,17.696430206298825
17,18.281709671020504,18.35516357421875,17.670776367187496,18.26146697998047,18.137086868286133
18,19.190998077392578,19.25973892211914,18.579643249511722,19.196258544921875,19.08244895935059
19,20.328420639038082,20.406387329101566,19.734024047851562,20.37848281860352,20.276109695434567
20,20.976249694824215,21.06717681884766,20.400417327880863,21.057680130004886,20.960872650146488
21,24.184951782226562,24.42765808105469,23.8010368347168,24.471719741821293,24.396245956420902
22,24.79520416259766,25.08378028869629,24.467433929443356,25.128089904785153,25.05671882629394
23,25.265911102294925,25.5936164855957,24.98591613769531,25.635366439819336,25.567472457885746
24,25.82197570800781,26.200130462646488,25.603511810302738,26.23548889160156,26.172195434570316
25,26.54890441894531,27.000097274780266,26.419357299804684,27.020942687988278,26.96464347839356
26,26.9218978881836,27.41374969482422,26.841762542724613,27.42416954040528,27.37195587158204
27,27.407245635986328,27.954998016357422,27.395317077636715,27.948854446411136,27.902507781982422
28,28.098388671875007,28.72425270080566,28.19133377075196,28.695569992065437,28.658699035644524
29,28.899917602539062,29.608131408691413,29.12612152099609,29.56010055541992,29.535802841186516
30,29.258575439453125,30.000650405883786,29.548526763916023,29.946163177490238,29.927991867065423
31,30.912952423095703,31.787380218505852,31.31641769409179,31.71722030639649,31.7297191619873
32,31.93375778198242,32.87087631225586,32.31480407714844,32.798934936523445,32.830078125
33,32.19562149047852,33.14659881591797,32.573822021484375,33.074703216552734,33.1102294921875
34,34.1480827331543,35.17524719238281,34.54384231567382,35.104129791259766,35.16014099121094
35,36.011615753173835,37.070079803466804,36.490753173828125,36.99086380004883,37.028640747070305
36,36.351455688476555,37.41164016723633,36.85313796997071,37.329368591308594,37.35779571533203
37,37.335758209228516,38.3945198059082,37.91597366333008,38.30057907104492,38.28885650634766
38,38.020751953125,39.07317733764649,38.66749954223633,38.96910095214843,38.91687011718751
39,40.848041534423835,41.83355712890624,41.877899169921875,41.688430786132805,41.36557006835937
40,40.85324478149415,41.83858489990235,41.88397979736329,41.69342041015625,41.36996459960938
41,41.00815963745118,41.988162994384766,42.06517028808593,41.84175872802734,41.50080871582032
42,42.07002639770508,43.00939941406249,43.32257461547852,42.86040878295899,42.41020965576171
43,44.48820495605468,45.31330490112304,45.55455398559571,45.19942092895507,44.78921508789063
44,44.93044662475585,45.73207092285157,45.88696289062499,45.62803268432617,45.295051574707024
45,45.46797943115235,46.240245819091804,46.29524612426757,46.14707946777344,45.926567077636726
46,46.51450729370118,47.227531433105476,47.103870391845696,47.14486312866212,47.12958526611329
47,46.91680526733399,47.60649108886718,47.41965103149413,47.521373748779304,47.55695343017578
48,47.75856399536132,48.3987693786621,48.08953094482421,48.29131698608399,48.36296081542969
49,51.60036468505859,52.01387786865234,51.313888549804695,51.4117088317871,51.160430908203125
50,52.18459701538087,52.56428146362304,51.829845428466804,51.83950424194336,51.566764831542976
51,52.33143234252929,52.70269775390624,51.96063995361328,51.94619750976563,51.670570373535156
52,53.517097473144524,53.82212448120116,53.033744812011726,52.806194305419915,52.54183959960938
53,54.108745574951186,54.38221740722655,53.58077239990236,53.241989135742195,53.00329589843749
54,56.48564147949217,56.64388656616211,55.85993576049803,55.15459442138671,55.086921691894524
55,58.00423431396483,58.094524383544915,57.38829040527343,56.61283493041992,56.63803863525389
56,58.622058868408196,58.686576843261726,58.027091979980476,57.27650451660155,57.31968688964842
57,60.00959014892579,60.02189636230469,59.499084472656264,58.92458343505859,58.94868469238282
58,60.98807907104493,60.969516754150405,60.569293975830064,60.20682907104493,60.166389465332045
59,61.35101699829101,61.32251358032227,60.97323989868165,60.702587127685554,60.629219055175774
60,61.66636657714845,61.62992858886718,61.32732391357422,61.14009094238283,61.03514862060548
61,62.04455947875977,61.99952697753907,61.755840301513686,61.67116546630859,61.525711059570305
62,63.15093231201173,63.08715438842774,63.03417205810547,63.24203872680663,62.973976135253906
63,63.20329666137695,63.13887786865236,63.09559631347655,63.31628036499025,63.04266357421874
64,64.91000366210939,64.8387985229492,65.14495849609375,65.66673278808594,65.259033203125
65,65.03512573242189,64.9645767211914,65.29888916015624,65.83112335205078,65.41839599609375
66,66.11396789550781,66.05607604980469,66.64730834960936,67.18759155273438,66.76374816894531
67,66.39224243164064,66.33976745605467,66.9082260131836,67.51864624023439,67.10110473632811
68,67.22440338134766,67.19377899169922,67.6433639526367,68.46153259277344,68.08236694335938
69,69.54486083984376,69.62345123291016,69.78005218505858,70.75369262695312,70.56842041015626
70,70.27674102783203,70.40575408935547,70.48107147216797,71.39331817626953,71.27011108398436
71,70.79637145996094,70.96614074707033,70.98682403564453,71.82862091064452,71.74382019042967
72,73.47563171386719,73.92385864257812,73.70093536376955,73.87272644042967,73.87005615234374
73,74.1878204345703,74.73001861572266,74.45239257812501,74.36450958251953,74.34980773925781
74,75.68667602539064,76.45457458496095,76.07443237304688,75.3227767944336,75.25067901611328
75,76.89144134521484,77.86810302734375,77.41715240478514,76.00786590576172,75.87472534179688
76,77.8352813720703,78.99214935302736,78.49242401123048,76.48551940917969,76.30612182617186
77,79.32171630859374,80.79078674316406,80.22520446777345,77.12692260742188,76.89196777343751
78,79.62437438964842,81.16107940673828,80.58362579345702,77.24087524414061,76.99823760986328
79,80.43643188476564,82.1609649658203,81.55408477783202,77.51966857910156,77.26321411132814
80,82.05296325683592,84.17694854736327,83.52120208740233,77.96554565429688,77.71053314208984
81,82.4898223876953,84.72698211669922,84.06007385253905,78.06347656249999,77.81478881835938
82,82.58770751953124,84.85047912597655,84.1811981201172,78.08422851562499,77.83724975585939
83,83.0631561279297,85.45179748535158,84.77148437500001,78.17906951904297,77.94185638427734
84,83.45712280273436,85.95166015624999,85.26288604736327,78.25054931640624,78.02308654785156
85,84.98983764648439,87.90805053710939,87.19194030761717,78.47528839111328,78.29633331298828
